UID          PID    PPID  C STIME TTY          TIME CMD
root         510       1  1 09:30 ?        00:00:06 /usr/lib/snapd/snapd
root         513       1  0 09:30 ?        00:00:00 /usr/libexec/switcheroo-control
root         517       1  0 09:30 ?        00:00:00 /lib/systemd/systemd-logind
root         519       1  0 09:30 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         520       1  0 09:30 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        541     485  0 09:30 ?        00:00:00 avahi-daemon: chroot helper
root         565       1  0 09:30 ?        00:00:00 /usr/sbin/ModemManager
root         568       1  0 09:30 ?        00:00:00 /usr/sbin/cupsd -l
lp           609     568  0 09:30 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         620       1  0 09:30 ?        00:00:00 /usr/sbin/gdm3
root         626       1  0 09:30 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         660       1  0 09:30 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     670       1  0 09:30 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     677       1  0 09:30 ?        00:00:00 /usr/sbin/kerneloops
root         724     620  0 09:30 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
charlie+     733       1  0 09:30 ?        00:00:03 /lib/systemd/systemd --user
charlie+     734     733  0 09:30 ?        00:00:00 (sd-pam)
charlie+     741     733  0 09:30 ?        00:00:00 /usr/bin/pipewire
charlie+     742     733  0 09:30 ?        00:00:00 /usr/bin/pipewire-media-session
charlie+     743     733  0 09:30 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
charlie+     751       1  0 09:30 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
rtkit        753       1  0 09:30 ?        00:00:00 /usr/libexec/rtkit-daemon
charlie+     760     733  0 09:30 ?        00:00:03 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
charlie+     761     724  0 09:30 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
charlie+     771     733  0 09:30 ?        00:00:00 /usr/libexec/gvfsd
charlie+     773     761  0 09:30 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
charlie+     789     733  0 09:30 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
charlie+     791     733  0 09:30 ?        00:00:00 /usr/libexec/xdg-document-portal
charlie+     807     733  0 09:30 ?        00:00:00 /usr/libexec/xdg-permission-store
root         819     791  0 09:30 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
charlie+     847     733  0 09:30 ?        00:00:03 /usr/libexec/tracker-miner-fs-3
charlie+     854     733  0 09:30 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
charlie+     867     733  0 09:30 ?        00:00:01 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
charlie+     875     733  0 09:30 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
charlie+     896     733 10 09:30 ?        00:00:49 /usr/bin/gnome-shell
charlie+     897     867  0 09:30 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
charlie+     904     733  0 09:30 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
charlie+     906     897  0 09:30 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
charlie+     911     733  0 09:30 ?        00:00:00 /usr/libexec/goa-daemon
charlie+     924     733  0 09:30 ?        00:00:00 /usr/libexec/goa-identity-service
charlie+     931     733  0 09:30 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
charlie+     940     733  0 09:30 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
charlie+     945     733  0 09:30 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root         949       1  0 09:30 ?        00:00:00 /usr/libexec/upowerd
charlie+    1014     733  0 09:30 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
charlie+    1078    1014  0 09:31 ?        00:00:01 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
charlie+    1082     733  0 09:31 ?        00:00:00 /usr/libexec/xdg-desktop-portal
charlie+    1085     733  0 09:31 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
charlie+    1088     733  0 09:31 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gnome
charlie+    1095     733  0 09:31 ?        00:00:00 /usr/libexec/evolution-source-registry
charlie+    1107     733  0 09:31 ?        00:00:00 /usr/libexec/evolution-calendar-factory
charlie+    1117     733  0 09:31 ?        00:00:00 /usr/libexec/dconf-service
charlie+    1124     733  0 09:31 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
root        1139       1  0 09:31 ?        00:00:00 /usr/libexec/packagekitd
charlie+    1146     771  0 09:31 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
charlie+    1159     733  0 09:31 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
charlie+    1161     733  0 09:31 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
charlie+    1174     733  0 09:31 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
charlie+    1175     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-a11y-settings
charlie+    1178    1174  0 09:31 ?        00:00:04 /usr/bin/ibus-daemon --panel disable
charlie+    1179     733  0 09:31 ?        00:00:01 /usr/libexec/gsd-color
charlie+    1181     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-datetime
charlie+    1186     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-housekeeping
charlie+    1189     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-keyboard
charlie+    1193     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-media-keys
charlie+    1197     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-power
charlie+    1198     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-print-notifications
charlie+    1201     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-rfkill
charlie+    1204     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
charlie+    1208     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-sharing
charlie+    1214     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-smartcard
charlie+    1217     733  0 09:31 ?        00:00:00 /usr/bin/spice-vdagent
charlie+    1219     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-sound
charlie+    1222     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-wacom
charlie+    1254     733  0 09:31 ?        00:00:00 /usr/libexec/gsd-printer
charlie+    1261    1178  0 09:31 ?        00:00:00 /usr/libexec/ibus-dconf
charlie+    1262    1178  2 09:31 ?        00:00:10 /usr/libexec/ibus-extension-gtk3
charlie+    1266     733  0 09:31 ?        00:00:00 /usr/libexec/ibus-portal
charlie+    1277     896  0 09:31 ?        00:00:01 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.EK8D41 -listen 4 -listen 5 -displayfd 6 -initfd 7
charlie+    1307     867  0 09:31 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
charlie+    1316     733  0 09:31 ?        00:00:00 /usr/libexec/gvfsd-metadata
charlie+    1317     867  0 09:31 ?        00:00:01 /usr/libexec/evolution-data-server/evolution-alarm-notify
charlie+    1381    1178  0 09:31 ?        00:00:01 /usr/libexec/ibus-engine-simple
charlie+    1384     733  0 09:31 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
colord      1399       1  0 09:31 ?        00:00:01 /usr/libexec/colord
charlie+    1413     733  0 09:31 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
charlie+    1416     733  0 09:31 ?        00:00:01 /usr/libexec/gsd-xsettings
charlie+    1436     896  1 09:31 ?        00:00:04 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:1114:707:1:27:0:74:0:0
charlie+    1476     733  0 09:31 ?        00:00:00 /usr/libexec/ibus-x11
root        1497       1  0 09:32 ?        00:00:00 /usr/sbin/spice-vdagentd
charlie+    1536     867  0 09:32 ?        00:00:01 update-notifier
charlie+    1564     733  3 09:32 ?        00:00:11 /usr/libexec/gnome-terminal-server
charlie+    1585    1564  0 09:32 pts/0    00:00:00 bash
root        2310       2  0 09:38 ?        00:00:00 [kworker/0:2-events]
charlie+    2311    1585  0 09:38 pts/0    00:00:00 ps -ef
